,job,job_status,unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown,y
0,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
3,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
4,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
5,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
6,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
7,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
8,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
9,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
10,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
11,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
12,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
13,student,9,0,0,0,0,0,0,0,0,1,0,0,0,1
14,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
15,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
16,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
17,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
18,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
19,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
20,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
21,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
22,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
23,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
24,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
25,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
26,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
27,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
28,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
29,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
30,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
31,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
32,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
33,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
34,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
35,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
36,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
37,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
38,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
39,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
40,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
41,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
42,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
43,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
44,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
45,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
46,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
47,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
48,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
49,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
50,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
51,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
52,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
53,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
54,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
55,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
56,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
57,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
58,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
59,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
60,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
61,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
62,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
63,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
64,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
65,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
66,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
67,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
68,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
69,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
70,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
71,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
72,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
73,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
74,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
75,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
76,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
77,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
78,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
79,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
81,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
82,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
83,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
84,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
85,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
86,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
87,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
88,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
89,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
90,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
