,Unnamed: 0,poutcome,y,poutcome_status,unknown,failure,other,success
0,0,unknown,0,1,1,0,0,0
1,1,failure,0,2,0,1,0,0
2,2,failure,0,2,0,1,0,0
3,3,unknown,0,1,1,0,0,0
4,4,unknown,0,1,1,0,0,0
5,5,failure,0,2,0,1,0,0
6,6,other,0,3,0,0,1,0
7,7,unknown,0,1,1,0,0,0
8,8,unknown,0,1,1,0,0,0
9,9,failure,0,2,0,1,0,0
10,10,unknown,0,1,1,0,0,0
11,11,unknown,0,1,1,0,0,0
12,12,unknown,0,1,1,0,0,0
13,13,unknown,1,1,1,0,0,0
14,14,failure,0,2,0,1,0,0
15,15,unknown,0,1,1,0,0,0
16,16,unknown,0,1,1,0,0,0
17,17,failure,0,2,0,1,0,0
18,18,unknown,0,1,1,0,0,0
19,19,other,0,3,0,0,1,0
20,20,unknown,0,1,1,0,0,0
21,21,unknown,0,1,1,0,0,0
22,22,unknown,0,1,1,0,0,0
23,23,unknown,0,1,1,0,0,0
24,24,unknown,0,1,1,0,0,0
25,25,unknown,0,1,1,0,0,0
26,26,unknown,0,1,1,0,0,0
27,27,failure,0,2,0,1,0,0
28,28,unknown,0,1,1,0,0,0
29,29,unknown,0,1,1,0,0,0
30,30,unknown,1,1,1,0,0,0
31,31,unknown,0,1,1,0,0,0
32,32,unknown,0,1,1,0,0,0
33,33,unknown,1,1,1,0,0,0
34,34,unknown,1,1,1,0,0,0
35,35,unknown,0,1,1,0,0,0
36,36,unknown,1,1,1,0,0,0
37,37,unknown,1,1,1,0,0,0
38,38,failure,1,2,0,1,0,0
39,39,unknown,0,1,1,0,0,0
40,40,failure,0,2,0,1,0,0
41,41,unknown,0,1,1,0,0,0
42,42,unknown,0,1,1,0,0,0
43,43,unknown,0,1,1,0,0,0
44,44,unknown,0,1,1,0,0,0
45,45,unknown,0,1,1,0,0,0
46,46,other,0,3,0,0,1,0
47,47,unknown,0,1,1,0,0,0
48,48,unknown,0,1,1,0,0,0
49,49,success,1,4,0,0,0,1
50,50,unknown,1,1,1,0,0,0
51,51,unknown,0,1,1,0,0,0
52,52,unknown,0,1,1,0,0,0
53,53,other,1,3,0,0,1,0
54,54,unknown,0,1,1,0,0,0
55,55,unknown,0,1,1,0,0,0
56,56,unknown,0,1,1,0,0,0
57,57,unknown,0,1,1,0,0,0
58,58,unknown,0,1,1,0,0,0
59,59,unknown,0,1,1,0,0,0
60,60,unknown,0,1,1,0,0,0
61,61,unknown,0,1,1,0,0,0
62,62,unknown,0,1,1,0,0,0
63,63,unknown,0,1,1,0,0,0
64,64,unknown,0,1,1,0,0,0
65,65,failure,0,2,0,1,0,0
66,66,unknown,0,1,1,0,0,0
67,67,unknown,0,1,1,0,0,0
68,68,unknown,0,1,1,0,0,0
69,69,unknown,0,1,1,0,0,0
70,70,success,1,4,0,0,0,1
71,71,unknown,0,1,1,0,0,0
72,72,unknown,0,1,1,0,0,0
73,73,unknown,0,1,1,0,0,0
74,74,unknown,0,1,1,0,0,0
75,75,unknown,0,1,1,0,0,0
76,76,other,0,3,0,0,1,0
77,77,unknown,0,1,1,0,0,0
78,78,unknown,0,1,1,0,0,0
79,79,failure,0,2,0,1,0,0
80,80,unknown,1,1,1,0,0,0
81,81,unknown,0,1,1,0,0,0
82,82,unknown,0,1,1,0,0,0
83,83,failure,1,2,0,1,0,0
84,84,unknown,1,1,1,0,0,0
85,85,unknown,0,1,1,0,0,0
86,86,unknown,0,1,1,0,0,0
87,87,unknown,0,1,1,0,0,0
88,88,unknown,0,1,1,0,0,0
89,89,unknown,0,1,1,0,0,0
90,90,unknown,0,1,1,0,0,0
91,91,unknown,0,1,1,0,0,0
92,92,unknown,1,1,1,0,0,0
93,93,unknown,0,1,1,0,0,0
94,94,unknown,0,1,1,0,0,0
95,95,unknown,0,1,1,0,0,0
96,96,unknown,0,1,1,0,0,0
97,97,failure,0,2,0,1,0,0
98,98,success,0,4,0,0,0,1
99,99,unknown,1,1,1,0,0,0
100,100,unknown,0,1,1,0,0,0
101,101,failure,0,2,0,1,0,0
102,102,unknown,0,1,1,0,0,0
103,103,unknown,0,1,1,0,0,0
104,104,unknown,0,1,1,0,0,0
105,105,failure,0,2,0,1,0,0
106,106,unknown,0,1,1,0,0,0
107,107,unknown,0,1,1,0,0,0
108,108,unknown,1,1,1,0,0,0
109,109,unknown,0,1,1,0,0,0
110,110,success,1,4,0,0,0,1
111,111,unknown,0,1,1,0,0,0
112,112,unknown,0,1,1,0,0,0
113,113,failure,0,2,0,1,0,0
114,114,unknown,1,1,1,0,0,0
115,115,unknown,1,1,1,0,0,0
116,116,unknown,0,1,1,0,0,0
117,117,unknown,0,1,1,0,0,0
118,118,unknown,0,1,1,0,0,0
119,119,unknown,0,1,1,0,0,0
120,120,unknown,0,1,1,0,0,0
