,Unnamed: 0,age,job,education,contact,day,month,duration,y,unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown,primary,secondary,tertiary,date,age_range,Young,Middle-aged,Senior,cellular,telephone
0,0,30,unemployed,primary,cellular,19,10,79,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-19,Middle-aged,0,1,0,1,0
1,1,33,services,secondary,cellular,11,5,220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-05-11,Middle-aged,0,1,0,1,0
2,2,35,management,tertiary,cellular,16,4,185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-16,Middle-aged,0,1,0,1,0
3,3,30,management,tertiary,unknown,3,6,199,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2023-06-03,Middle-aged,0,1,0,0,0
4,4,59,blue-collar,secondary,unknown,5,5,226,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2023-05-05,Senior,0,0,1,0,0
5,5,35,management,tertiary,cellular,23,2,141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-02-23,Middle-aged,0,1,0,1,0
6,6,36,self-employed,tertiary,cellular,14,5,341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-05-14,Middle-aged,0,1,0,1,0
7,7,39,technician,secondary,cellular,6,5,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-05-06,Middle-aged,0,1,0,1,0
8,8,41,entrepreneur,tertiary,unknown,14,5,57,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2023-05-14,Middle-aged,0,1,0,0,0
9,9,43,services,primary,cellular,17,4,313,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-04-17,Middle-aged,0,1,0,1,0
10,10,39,services,secondary,unknown,20,5,273,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2023-05-20,Middle-aged,0,1,0,0,0
11,11,43,admin.,secondary,cellular,17,4,113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-04-17,Middle-aged,0,1,0,1,0
12,12,36,technician,tertiary,cellular,13,8,328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-08-13,Middle-aged,0,1,0,1,0
13,13,20,student,secondary,cellular,30,4,261,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2023-04-30,Young,1,0,0,1,0
14,14,31,blue-collar,secondary,cellular,29,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-01-29,Middle-aged,0,1,0,1,0
15,15,40,management,tertiary,cellular,29,8,189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-29,Middle-aged,0,1,0,1,0
16,16,56,technician,secondary,cellular,27,8,239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-08-27,Senior,0,0,1,1,0
17,17,37,admin.,tertiary,cellular,20,4,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023-04-20,Middle-aged,0,1,0,1,0
18,18,25,blue-collar,primary,unknown,23,5,250,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-05-23,Young,1,0,0,0,0
19,19,31,services,secondary,cellular,7,7,148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-07,Middle-aged,0,1,0,1,0
20,20,38,management,unknown,cellular,18,11,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-18,Middle-aged,0,1,0,1,0
21,21,42,management,tertiary,cellular,19,11,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-11-19,Middle-aged,0,1,0,1,0
22,22,44,services,secondary,unknown,12,6,109,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2023-06-12,Middle-aged,0,1,0,0,0
23,23,44,entrepreneur,secondary,cellular,7,7,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2023-07-07,Middle-aged,0,1,0,1,0
24,24,26,housemaid,tertiary,cellular,30,1,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2023-01-30,Middle-aged,0,1,0,1,0
25,25,41,management,tertiary,cellular,20,11,182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-11-20,Middle-aged,0,1,0,1,0
26,26,55,blue-collar,primary,unknown,5,5,247,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-05-05,Senior,0,0,1,0,0
27,27,67,retired,unknown,telephone,17,8,119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023-08-17,Senior,0,0,1,0,1
28,28,56,self-employed,secondary,cellular,30,7,149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023-07-30,Senior,0,0,1,1,0
29,29,53,admin.,secondary,cellular,21,8,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-08-21,Senior,0,0,1,1,0
30,30,68,retired,secondary,telephone,14,7,897,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2023-07-14,Senior,0,0,1,0,1
31,31,31,technician,secondary,cellular,27,8,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-08-27,Middle-aged,0,1,0,1,0
32,32,59,management,secondary,cellular,21,11,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2023-11-21,Senior,0,0,1,1,0
33,33,32,management,tertiary,cellular,26,8,958,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-26,Middle-aged,0,1,0,1,0
34,34,49,technician,tertiary,cellular,13,8,354,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-08-13,Middle-aged,0,1,0,1,0
35,35,42,admin.,secondary,unknown,14,5,150,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2023-05-14,Middle-aged,0,1,0,0,0
36,36,78,retired,primary,telephone,22,10,97,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2023-10-22,Senior,0,0,1,0,1
37,37,32,blue-collar,secondary,cellular,14,11,132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-11-14,Middle-aged,0,1,0,1,0
38,38,33,management,secondary,cellular,6,5,765,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2023-05-06,Middle-aged,0,1,0,1,0
39,39,23,services,tertiary,unknown,30,5,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2023-05-30,Young,1,0,0,0,0
40,40,38,management,tertiary,unknown,17,11,609,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2023-11-17,Middle-aged,0,1,0,0,0
41,41,36,management,tertiary,cellular,11,8,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-11,Middle-aged,0,1,0,1,0
42,42,52,blue-collar,secondary,cellular,13,5,365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-05-13,Senior,0,0,1,1,0
43,43,32,technician,tertiary,cellular,13,5,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-05-13,Middle-aged,0,1,0,1,0
44,44,32,technician,tertiary,cellular,21,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-11-21,Middle-aged,0,1,0,1,0
45,45,34,management,tertiary,unknown,7,5,105,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2023-05-07,Middle-aged,0,1,0,0,0
46,46,55,blue-collar,primary,telephone,2,2,59,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-02-02,Senior,0,0,1,0,1
47,47,26,blue-collar,primary,unknown,21,5,425,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-05-21,Middle-aged,0,1,0,0,0
48,48,32,entrepreneur,primary,cellular,4,2,204,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2023-02-04,Middle-aged,0,1,0,1,0
49,49,61,admin.,unknown,cellular,27,1,181,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023-01-27,Senior,0,0,1,1,0
50,50,45,blue-collar,primary,unknown,5,6,1018,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-06-05,Middle-aged,0,1,0,0,0
51,51,37,technician,secondary,cellular,20,8,1740,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-08-20,Middle-aged,0,1,0,1,0
52,52,38,technician,secondary,cellular,29,8,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-08-29,Middle-aged,0,1,0,1,0
